Order_ID,Order_Date,Customer_ID,Customer_Name,Region,State,City,Product_Category,Product_Name,Quantity,Unit_Price,Revenue,Cost,Profit,Customer_Segment,Calculated Profit,Year,Month,Quarter,Weekday,Profit Margin,OrderMonth
ORD00011,2025-10-11,CUST0871,Customer_321,South,Tamil Nadu,Chennai,Electronics,Smartphone,7,21.98,153.86,113.67,40.19,Home Office,40.19000000000001,2025,10,4,Saturday,26.121149096581302,2025-10
ORD00012,2023-02-18,CUST0242,Customer_579,East,West Bengal,Kolkata,Furniture,Chair,3,1311.66,3934.98,2279.59,1655.39,Consumer,1655.3899999999999,2023,2,1,Saturday,42.068574681446925,2023-02
ORD00013,2024-04-04,CUST0434,Customer_816,West,Gujarat,Ahmedabad,Furniture,Desk,4,740.87,2963.48,2271.46,692.02,Consumer,692.02,2024,4,2,Thursday,23.35160014577456,2024-04
ORD00014,2025-02-25,CUST0248,Customer_260,West,Maharashtra,Mumbai,Clothing,Jeans,9,532.24,4790.16,3318.01,1472.15,Home Office,1472.1499999999996,2025,2,1,Tuesday,30.732793894149673,2025-02
ORD00015,2025-09-07,CUST0381,Customer_671,North,Punjab,Ludhiana,Electronics,Tablet,3,1035.47,3106.41,2792.27,314.14,Consumer,314.1399999999999,2025,9,3,Sunday,10.112638061299057,2025-09
ORD00016,2025-01-30,CUST0236,Customer_284,West,Gujarat,Ahmedabad,Furniture,Sofa,5,358.68,1793.4,1222.0,571.4,Consumer,571.4000000000001,2025,1,1,Thursday,31.861269097803053,2025-01
ORD00017,2023-09-26,CUST0603,Customer_747,West,Rajasthan,Jaipur,Clothing,Shirt,8,896.93,7175.44,4195.21,2980.23,Home Office,2980.2299999999996,2023,9,3,Tuesday,41.533759602198614,2023-09
ORD00018,2025-07-23,CUST0282,Customer_963,West,Rajasthan,Jaipur,Electronics,Smartphone,9,604.51,5440.59,3484.19,1956.4,Corporate,1956.4,2025,7,3,Wednesday,35.959335292679654,2025-07
ORD00019,2025-01-11,CUST0273,Customer_449,East,West Bengal,Kolkata,Furniture,Cabinet,8,180.02,1440.16,852.91,587.25,Corporate,587.2500000000001,2025,1,1,Saturday,40.77671925341628,2025-01
ORD00020,2023-07-05,CUST0999,Customer_59,North,Punjab,Ludhiana,Furniture,Desk,8,754.64,6037.12,4150.23,1886.89,Corporate,1886.8900000000003,2023,7,3,Wednesday,31.25480361496873,2023-07
ORD00021,2023-01-10,CUST0392,Customer_66,West,Maharashtra,Mumbai,Clothing,Dress,4,800.99,3203.96,2071.83,1132.13,Consumer,1132.13,2023,1,1,Tuesday,35.335335022909156,2023-01
ORD00022,2023-08-12,CUST0419,Customer_882,South,Telangana,Hyderabad,Clothing,T-Shirt,2,1488.99,2977.98,2670.16,307.82,Consumer,307.82000000000016,2023,8,3,Saturday,10.336536847124561,2023-08
ORD00023,2024-04-29,CUST0051,Customer_98,North,Punjab,Ludhiana,Furniture,Sofa,2,527.76,1055.52,652.6,402.92,Corporate,402.91999999999996,2024,4,2,Monday,38.17265423677429,2024-04
ORD00024,2024-11-29,CUST0883,Customer_503,North,Punjab,Ludhiana,Clothing,Shirt,4,476.12,1904.48,1169.07,735.41,Home Office,735.4100000000001,2024,11,4,Friday,38.61473998151726,2024-11
ORD00025,2025-09-02,CUST0151,Customer_151,East,West Bengal,Kolkata,Electronics,Laptop,1,745.44,745.44,509.42,236.02,Consumer,236.02000000000004,2025,9,3,Tuesday,31.66183730414252,2025-09
ORD00026,2023-06-06,CUST0488,Customer_728,South,Tamil Nadu,Chennai,Electronics,Smartphone,1,1014.89,1014.89,897.09,117.8,Consumer,117.79999999999995,2023,6,2,Tuesday,11.607169249869443,2023-06
ORD00027,2025-05-02,CUST0386,Customer_153,East,Bihar,Patna,Furniture,Table,10,193.02,1930.2,1334.64,595.56,Corporate,595.56,2025,5,2,Friday,30.854833695990045,2025-05
ORD00028,2024-10-16,CUST0427,Customer_724,West,Gujarat,Ahmedabad,Clothing,Dress,4,1484.46,5937.84,4719.52,1218.32,Corporate,1218.3199999999997,2024,10,4,Wednesday,20.517898764533903,2024-10
ORD00029,2025-06-16,CUST0419,Customer_375,South,Karnataka,Bengaluru,Clothing,T-Shirt,3,1056.24,3168.72,2703.34,465.38,Home Office,465.37999999999965,2025,6,2,Monday,14.686687369032292,2025-06
ORD00030,2023-11-12,CUST0063,Customer_534,West,Rajasthan,Jaipur,Furniture,Sofa,5,1075.7,5378.5,3028.54,2349.96,Home Office,2349.96,2023,11,4,Sunday,43.69173561401878,2023-11
ORD00031,2023-08-25,CUST0029,Customer_243,North,Delhi,New Delhi,Furniture,Sofa,10,1173.41,11734.1,8520.57,3213.53,Corporate,3213.5300000000007,2023,8,3,Friday,27.38625033023411,2023-08
ORD00032,2025-04-15,CUST0469,Customer_740,North,Punjab,Ludhiana,Furniture,Sofa,3,781.42,2344.26,1955.81,388.45,Consumer,388.4500000000003,2025,4,2,Tuesday,16.57026097787788,2025-04
ORD00033,2024-12-02,CUST0334,Customer_52,South,Tamil Nadu,Chennai,Electronics,Laptop,6,114.55,687.3,472.98,214.32,Corporate,214.31999999999994,2024,12,4,Monday,31.182889567874287,2024-12
ORD00034,2024-09-22,CUST0761,Customer_37,West,Rajasthan,Jaipur,Furniture,Cabinet,9,1429.64,12866.76,10631.02,2235.74,Consumer,2235.74,2024,9,3,Sunday,17.37609157239274,2024-09
ORD00035,2024-03-23,CUST0358,Customer_421,South,Karnataka,Bengaluru,Electronics,Monitor,7,1036.53,7255.71,4837.07,2418.64,Corporate,2418.6400000000003,2024,3,1,Saturday,33.33429809074508,2024-03
ORD00036,2025-04-10,CUST0705,Customer_392,West,Maharashtra,Mumbai,Electronics,Tablet,5,1367.37,6836.85,5170.46,1666.39,Consumer,1666.3900000000003,2025,4,2,Thursday,24.373651608562422,2025-04
ORD00037,2024-12-18,CUST0625,Customer_403,West,Maharashtra,Mumbai,Electronics,Smartphone,8,176.18,1409.44,812.41,597.03,Consumer,597.0300000000001,2024,12,4,Wednesday,42.35937677375411,2024-12
ORD00038,2023-12-14,CUST0795,Customer_332,East,Odisha,Bhubaneswar,Clothing,Jeans,7,511.41,3579.87,2824.46,755.41,Home Office,755.4099999999999,2023,12,4,Thursday,21.101604248198957,2023-12
ORD00039,2023-11-22,CUST0987,Customer_564,South,Karnataka,Bengaluru,Furniture,Table,8,154.14,1233.12,946.2,286.92,Consumer,286.91999999999985,2023,11,4,Wednesday,23.26780848579214,2023-11
ORD00040,2025-01-20,CUST0606,Customer_569,South,Telangana,Hyderabad,Electronics,Monitor,1,572.66,572.66,473.19,99.47,Consumer,99.46999999999997,2025,1,1,Monday,17.369818042119235,2025-01
ORD00041,2025-08-19,CUST0525,Customer_994,West,Gujarat,Ahmedabad,Furniture,Cabinet,3,81.46,244.38,195.4,48.98,Corporate,48.97999999999999,2025,8,3,Tuesday,20.042556674032245,2025-08
ORD00042,2023-10-27,CUST0982,Customer_434,North,Haryana,Gurugram,Furniture,Desk,8,783.82,6270.56,4840.99,1429.57,Consumer,1429.5700000000006,2023,10,4,Friday,22.798123293613326,2023-10
ORD00043,2024-01-13,CUST0053,Customer_673,North,Punjab,Ludhiana,Electronics,Smartphone,3,1386.66,4159.98,3180.21,979.77,Consumer,979.7699999999995,2024,1,1,Saturday,23.552276693637953,2024-01
ORD00044,2025-04-04,CUST0683,Customer_913,North,Haryana,Gurugram,Furniture,Sofa,4,131.56,526.24,305.24,221.0,Home Office,221.0,2025,4,2,Friday,41.99604743083004,2025-04
ORD00045,2024-11-06,CUST0197,Customer_843,North,Haryana,Gurugram,Furniture,Desk,6,821.46,4928.76,2929.98,1998.78,Corporate,1998.7800000000002,2024,11,4,Wednesday,40.553404913203316,2024-11
ORD00046,2025-05-21,CUST0012,Customer_295,North,Haryana,Gurugram,Furniture,Cabinet,2,1367.58,2735.16,2045.94,689.22,Consumer,689.2199999999998,2025,5,2,Wednesday,25.19852586320362,2025-05
ORD00047,2024-11-23,CUST0469,Customer_196,East,Odisha,Bhubaneswar,Clothing,Jacket,7,895.35,6267.45,4896.56,1370.89,Home Office,1370.8899999999994,2024,11,4,Saturday,21.873170109055522,2024-11
ORD00048,2024-03-26,CUST0321,Customer_527,South,Telangana,Hyderabad,Electronics,Monitor,5,508.87,2544.35,1742.37,801.98,Corporate,801.98,2024,3,1,Tuesday,31.52003458643662,2024-03
ORD00049,2024-05-09,CUST0219,Customer_245,East,West Bengal,Kolkata,Electronics,Headphones,5,276.54,1382.7,991.2,391.5,Corporate,391.5,2024,5,2,Thursday,28.314167932306354,2024-05
ORD00050,2024-06-25,CUST0426,Customer_975,North,Haryana,Gurugram,Clothing,Shirt,3,228.38,685.14,436.24,248.9,Consumer,248.89999999999998,2024,6,2,Tuesday,36.32834165280089,2024-06
ORD00051,2025-02-06,CUST0916,Customer_243,South,Karnataka,Bengaluru,Furniture,Sofa,8,83.95,671.6,471.73,199.87,Consumer,199.87,2025,2,1,Thursday,29.76027397260274,2025-02
ORD00052,2025-11-18,CUST0789,Customer_522,East,Bihar,Patna,Clothing,Jacket,2,1186.24,2372.48,1922.81,449.67,Consumer,449.6700000000001,2025,11,4,Tuesday,18.95358443485298,2025-11
ORD00053,2025-08-24,CUST0473,Customer_787,East,Odisha,Bhubaneswar,Furniture,Sofa,1,1227.94,1227.94,1043.96,183.98,Corporate,183.98000000000002,2025,8,3,Sunday,14.982816750004071,2025-08
ORD00054,2023-12-17,CUST0106,Customer_186,South,Telangana,Hyderabad,Electronics,Monitor,4,1011.72,4046.88,3527.99,518.89,Corporate,518.8900000000003,2023,12,4,Sunday,12.821976436168109,2023-12
ORD00055,2023-05-09,CUST0476,Customer_372,West,Gujarat,Ahmedabad,Furniture,Sofa,8,941.2,7529.6,5191.01,2338.59,Consumer,2338.59,2023,5,2,Tuesday,31.0586219719507,2023-05
ORD00056,2023-08-06,CUST0052,Customer_535,North,Punjab,Ludhiana,Furniture,Sofa,5,498.04,2490.2,1774.74,715.46,Consumer,715.4599999999998,2023,8,3,Sunday,28.7310256204321,2023-08
ORD00057,2023-08-13,CUST0556,Customer_11,West,Gujarat,Ahmedabad,Clothing,Jacket,5,913.03,4565.15,3815.51,749.64,Home Office,749.6399999999994,2023,8,3,Sunday,16.4209281184627,2023-08
ORD00058,2023-03-14,CUST0302,Customer_444,East,Bihar,Patna,Electronics,Headphones,5,336.36,1681.8,1159.71,522.09,Consumer,522.0899999999999,2023,3,1,Tuesday,31.04352479486265,2023-03
ORD00059,2023-07-13,CUST0698,Customer_964,East,Bihar,Patna,Electronics,Smartphone,3,115.84,347.52,249.53,97.99,Consumer,97.98999999999998,2023,7,3,Thursday,28.196938305709025,2023-07
ORD00060,2025-11-21,CUST0368,Customer_217,North,Punjab,Ludhiana,Clothing,Jacket,7,669.66,4687.62,3879.2,808.42,Consumer,808.4200000000001,2025,11,4,Friday,17.245851839526242,2025-11
ORD00061,2023-04-14,CUST0779,Customer_523,West,Maharashtra,Mumbai,Clothing,Jeans,6,1131.38,6788.28,4994.33,1793.95,Home Office,1793.9499999999998,2023,4,2,Friday,26.427165644316382,2023-04
ORD00062,2025-05-02,CUST0754,Customer_535,North,Delhi,New Delhi,Electronics,Tablet,1,1466.19,1466.19,990.11,476.08,Home Office,476.08000000000004,2025,5,2,Friday,32.47055292970215,2025-05
ORD00063,2024-02-11,CUST0552,Customer_447,East,Odisha,Bhubaneswar,Electronics,Monitor,9,1273.16,11458.44,8079.1,3379.34,Corporate,3379.34,2024,2,1,Sunday,29.49214727310175,2024-02
ORD00064,2024-12-26,CUST0986,Customer_665,East,Odisha,Bhubaneswar,Clothing,T-Shirt,4,482.87,1931.48,1503.02,428.46,Home Office,428.46000000000004,2024,12,4,Thursday,22.182989210346467,2024-12
ORD00065,2024-09-16,CUST0756,Customer_192,South,Karnataka,Bengaluru,Furniture,Cabinet,9,795.88,7162.92,3993.58,3169.34,Consumer,3169.34,2024,9,3,Monday,44.24648048561202,2024-09
ORD00066,2024-06-02,CUST0287,Customer_55,West,Rajasthan,Jaipur,Furniture,Sofa,1,1298.36,1298.36,790.41,507.95,Consumer,507.94999999999993,2024,6,2,Sunday,39.122431374965345,2024-06
ORD00067,2024-08-20,CUST0682,Customer_858,East,West Bengal,Kolkata,Electronics,Laptop,8,81.29,650.32,529.18,121.14,Consumer,121.1400000000001,2024,8,3,Tuesday,18.627752491081313,2024-08
ORD00068,2023-08-15,CUST0396,Customer_628,South,Karnataka,Bengaluru,Electronics,Smartphone,4,886.06,3544.24,2909.06,635.18,Home Office,635.1799999999998,2023,8,3,Tuesday,17.921472586506557,2023-08
ORD00069,2024-02-13,CUST0626,Customer_437,North,Delhi,New Delhi,Clothing,T-Shirt,6,970.27,5821.62,4792.8,1028.82,Home Office,1028.8199999999997,2024,2,1,Tuesday,17.672400465849712,2024-02
ORD00070,2023-02-27,CUST0016,Customer_287,South,Karnataka,Bengaluru,Electronics,Smartphone,4,429.97,1719.88,967.13,752.75,Home Office,752.7500000000001,2023,2,1,Monday,43.76758843640254,2023-02
ORD00071,2025-08-25,CUST0795,Customer_439,South,Tamil Nadu,Chennai,Electronics,Tablet,6,888.84,5333.04,4171.02,1162.02,Home Office,1162.0199999999995,2025,8,3,Monday,21.789073399036944,2025-08
ORD00072,2023-11-20,CUST0015,Customer_411,South,Tamil Nadu,Chennai,Electronics,Laptop,9,789.93,7109.37,5998.25,1111.12,Corporate,1111.12,2023,11,4,Monday,15.62895165113083,2023-11
ORD00073,2023-04-25,CUST0262,Customer_785,East,Odisha,Bhubaneswar,Furniture,Chair,1,681.84,681.84,479.34,202.5,Home Office,202.50000000000006,2023,4,2,Tuesday,29.699049630411828,2023-04
ORD00074,2023-04-24,CUST0045,Customer_615,North,Haryana,Gurugram,Furniture,Table,1,1324.27,1324.27,1106.83,217.44,Home Office,217.44000000000005,2023,4,2,Monday,16.419612314709237,2023-04
ORD00075,2024-08-31,CUST0652,Customer_545,South,Tamil Nadu,Chennai,Furniture,Sofa,5,1078.39,5391.95,4625.71,766.24,Consumer,766.2399999999998,2024,8,3,Saturday,14.210814269420155,2024-08
ORD00076,2024-09-07,CUST0346,Customer_826,South,Telangana,Hyderabad,Electronics,Tablet,10,369.12,3691.2,2557.53,1133.67,Corporate,1133.6699999999996,2024,9,3,Saturday,30.71277633289987,2024-09
ORD00077,2025-05-14,CUST0034,Customer_50,North,Punjab,Ludhiana,Electronics,Laptop,5,476.55,2382.75,1939.32,443.43,Corporate,443.43000000000006,2025,5,2,Wednesday,18.610009442870634,2025-05
ORD00078,2023-05-11,CUST0721,Customer_166,South,Karnataka,Bengaluru,Clothing,Dress,5,1092.73,5463.65,3641.19,1822.46,Consumer,1822.4599999999996,2023,5,2,Thursday,33.356089793453094,2023-05
ORD00079,2024-04-27,CUST0672,Customer_554,West,Rajasthan,Jaipur,Furniture,Cabinet,3,1275.13,3825.39,2418.63,1406.76,Home Office,1406.7599999999998,2024,4,2,Saturday,36.7742896802679,2024-04
ORD00080,2023-10-13,CUST0077,Customer_39,North,Delhi,New Delhi,Clothing,Shirt,3,271.59,814.77,590.54,224.23,Home Office,224.23000000000002,2023,10,4,Friday,27.520649999386332,2023-10
ORD00081,2023-06-17,CUST0372,Customer_856,East,West Bengal,Kolkata,Furniture,Cabinet,7,82.7,578.9,369.94,208.96,Home Office,208.95999999999998,2023,6,2,Saturday,36.096044221799964,2023-06
ORD00082,2025-12-16,CUST0948,Customer_636,North,Punjab,Ludhiana,Clothing,Dress,9,250.19,2251.71,1950.71,301.0,Home Office,301.0,2025,12,4,Tuesday,13.367618387803049,2025-12
ORD00083,2023-03-26,CUST0475,Customer_763,West,Gujarat,Ahmedabad,Furniture,Cabinet,2,513.62,1027.24,842.0,185.24,Home Office,185.24,2023,3,1,Sunday,18.0327868852459,2023-03
ORD00084,2024-09-29,CUST0968,Customer_154,West,Gujarat,Ahmedabad,Furniture,Desk,2,1198.74,2397.48,1965.26,432.22,Consumer,432.22,2024,9,3,Sunday,18.028096167642694,2024-09
ORD00085,2025-07-30,CUST0029,Customer_117,North,Delhi,New Delhi,Electronics,Tablet,10,411.02,4110.2,2286.21,1823.99,Home Office,1823.9899999999998,2025,7,3,Wednesday,44.377159262323005,2025-07
ORD00086,2024-02-19,CUST0642,Customer_645,East,Bihar,Patna,Clothing,Jacket,10,242.05,2420.5,1480.66,939.84,Consumer,939.8399999999999,2024,2,1,Monday,38.82834125180748,2024-02
ORD00087,2024-11-05,CUST0859,Customer_673,West,Rajasthan,Jaipur,Furniture,Table,3,652.63,1957.89,1260.85,697.04,Home Office,697.0400000000002,2024,11,4,Tuesday,35.601591509226765,2024-11
ORD00088,2024-07-12,CUST0068,Customer_187,North,Delhi,New Delhi,Furniture,Cabinet,8,1124.29,8994.32,7735.11,1259.21,Corporate,1259.21,2024,7,3,Friday,14.000057814265004,2024-07
ORD00089,2024-09-28,CUST0525,Customer_574,West,Maharashtra,Mumbai,Clothing,Jeans,6,489.96,2939.76,2479.39,460.37,Consumer,460.37000000000035,2024,9,3,Saturday,15.660121914714125,2024-09
ORD00090,2025-01-12,CUST0616,Customer_251,West,Maharashtra,Mumbai,Clothing,T-Shirt,7,238.98,1672.86,1331.63,341.23,Consumer,341.2299999999998,2025,1,1,Sunday,20.398001028179287,2025-01
ORD00091,2024-02-13,CUST0023,Customer_457,West,Gujarat,Ahmedabad,Clothing,T-Shirt,9,800.79,7207.11,4803.74,2403.37,Corporate,2403.37,2024,2,1,Tuesday,33.34720852047492,2024-02
ORD00092,2024-09-06,CUST0253,Customer_283,South,Karnataka,Bengaluru,Furniture,Table,6,1099.31,6595.86,3883.59,2712.27,Home Office,2712.2699999999995,2024,9,3,Friday,41.12079395257025,2024-09
ORD00093,2024-08-22,CUST0404,Customer_334,East,Odisha,Bhubaneswar,Clothing,T-Shirt,6,737.94,4427.64,3503.08,924.56,Home Office,924.5600000000004,2024,8,3,Thursday,20.881553152469483,2024-08
ORD00094,2023-09-19,CUST0569,Customer_870,East,Odisha,Bhubaneswar,Furniture,Sofa,2,1267.45,2534.9,2057.26,477.64,Consumer,477.6399999999999,2023,9,3,Tuesday,18.84255789183005,2023-09
ORD00095,2024-08-25,CUST0620,Customer_81,North,Haryana,Gurugram,Furniture,Sofa,5,893.51,4467.55,3580.57,886.98,Consumer,886.98,2024,8,3,Sunday,19.853834875938713,2024-08
ORD00096,2024-07-29,CUST0454,Customer_646,South,Tamil Nadu,Chennai,Clothing,Dress,5,92.19,460.95,313.36,147.59,Corporate,147.58999999999997,2024,7,3,Monday,32.01865712116282,2024-07
ORD00097,2023-06-02,CUST0538,Customer_85,South,Karnataka,Bengaluru,Electronics,Headphones,1,129.33,129.33,108.93,20.4,Consumer,20.400000000000006,2023,6,2,Friday,15.773602412433307,2023-06
ORD00098,2025-05-24,CUST0055,Customer_733,North,Haryana,Gurugram,Electronics,Tablet,6,740.88,4445.28,2495.88,1949.4,Home Office,1949.3999999999996,2025,5,2,Saturday,43.85325558794947,2025-05
ORD00099,2023-08-31,CUST0775,Customer_599,West,Gujarat,Ahmedabad,Clothing,Shirt,4,924.54,3698.16,3254.26,443.9,Consumer,443.89999999999964,2023,8,3,Thursday,12.003266489281156,2023-08
ORD00100,2025-12-02,CUST0826,Customer_470,East,West Bengal,Kolkata,Clothing,Jeans,1,866.51,866.51,627.68,238.83,Consumer,238.83000000000004,2025,12,4,Tuesday,27.562290106288444,2025-12
ORD00101,2023-07-10,CUST0012,Customer_635,North,Haryana,Gurugram,Electronics,Laptop,10,262.05,2620.5,1966.16,654.34,Consumer,654.3399999999999,2023,7,3,Monday,24.97004388475482,2023-07
ORD00102,2023-04-28,CUST0515,Customer_212,West,Maharashtra,Mumbai,Furniture,Cabinet,9,838.66,7547.94,5509.01,2038.93,Corporate,2038.9299999999994,2023,4,2,Friday,27.013065816633414,2023-04
ORD00103,2024-10-13,CUST0258,Customer_718,South,Karnataka,Bengaluru,Electronics,Tablet,6,466.52,2799.12,1614.61,1184.51,Corporate,1184.51,2024,10,4,Sunday,42.31722827174254,2024-10
ORD00104,2025-05-23,CUST0126,Customer_780,East,West Bengal,Kolkata,Clothing,T-Shirt,8,626.16,5009.28,2867.21,2142.07,Consumer,2142.0699999999997,2025,5,2,Friday,42.76203366551681,2025-05
ORD00105,2023-08-30,CUST0683,Customer_822,West,Gujarat,Ahmedabad,Electronics,Smartphone,7,171.12,1197.84,1014.17,183.67,Corporate,183.66999999999996,2023,8,3,Wednesday,15.333433513657917,2023-08
ORD00106,2024-11-24,CUST0799,Customer_466,South,Telangana,Hyderabad,Furniture,Table,4,926.78,3707.12,2655.51,1051.61,Corporate,1051.6099999999997,2024,11,4,Sunday,28.367303998791517,2024-11
ORD00107,2023-06-15,CUST0596,Customer_297,North,Delhi,New Delhi,Clothing,Jacket,10,1108.28,11082.8,9733.03,1349.77,Home Office,1349.7699999999986,2023,6,2,Thursday,12.178961995163677,2023-06
ORD00108,2025-12-17,CUST0641,Customer_755,South,Karnataka,Bengaluru,Electronics,Tablet,4,612.57,2450.28,1757.45,692.83,Corporate,692.8300000000002,2025,12,4,Wednesday,28.275544019458998,2025-12
ORD00109,2023-07-13,CUST0850,Customer_29,East,Odisha,Bhubaneswar,Clothing,Shirt,5,784.65,3923.25,3056.02,867.23,Consumer,867.23,2023,7,3,Thursday,22.10488752947174,2023-07
ORD00110,2025-06-15,CUST0571,Customer_805,West,Gujarat,Ahmedabad,Clothing,Jeans,1,478.97,478.97,362.89,116.08,Consumer,116.08000000000004,2025,6,2,Sunday,24.235338330166815,2025-06
ORD00111,2023-12-23,CUST0247,Customer_633,South,Karnataka,Bengaluru,Clothing,Dress,8,718.06,5744.48,5005.75,738.73,Corporate,738.7299999999996,2023,12,4,Saturday,12.859823691613514,2023-12
ORD00112,2025-12-12,CUST0604,Customer_160,South,Karnataka,Bengaluru,Clothing,T-Shirt,1,1499.72,1499.72,1196.38,303.34,Consumer,303.3399999999999,2025,12,4,Friday,20.226442269223586,2025-12
ORD00113,2024-06-06,CUST0815,Customer_825,East,Bihar,Patna,Furniture,Table,6,120.27,721.62,439.89,281.73,Consumer,281.73,2024,6,2,Thursday,39.04132368836784,2024-06
ORD00114,2025-03-19,CUST0635,Customer_994,East,Odisha,Bhubaneswar,Electronics,Headphones,9,250.03,2250.27,1815.03,435.24,Home Office,435.24,2025,3,1,Wednesday,19.34167899852018,2025-03
ORD00115,2024-04-13,CUST0764,Customer_597,North,Punjab,Ludhiana,Electronics,Smartphone,1,929.91,929.91,751.52,178.39,Home Office,178.39,2024,4,2,Saturday,19.18357690529191,2024-04
ORD00116,2025-09-21,CUST0340,Customer_856,West,Rajasthan,Jaipur,Furniture,Table,3,409.56,1228.68,944.65,284.03,Home Office,284.0300000000001,2025,9,3,Sunday,23.116678061008557,2025-09
ORD00117,2023-02-21,CUST0268,Customer_573,East,Odisha,Bhubaneswar,Furniture,Table,5,770.92,3854.6,2143.57,1711.03,Consumer,1711.0299999999997,2023,2,1,Tuesday,44.38930109479583,2023-02
ORD00118,2023-06-08,CUST0668,Customer_65,West,Rajasthan,Jaipur,Electronics,Tablet,2,489.0,978.0,570.99,407.01,Home Office,407.01,2023,6,2,Thursday,41.61656441717791,2023-06
ORD00119,2024-08-13,CUST0009,Customer_852,South,Karnataka,Bengaluru,Furniture,Sofa,10,1363.92,13639.2,8387.29,5251.91,Home Office,5251.91,2024,8,3,Tuesday,38.50599741920347,2024-08
ORD00120,2023-06-06,CUST0508,Customer_60,East,Bihar,Patna,Furniture,Table,2,1142.36,2284.72,1382.64,902.08,Consumer,902.0799999999997,2023,6,2,Tuesday,39.483175181203826,2023-06
ORD00121,2025-01-07,CUST0763,Customer_939,North,Haryana,Gurugram,Electronics,Tablet,1,1098.28,1098.28,779.65,318.63,Home Office,318.63,2025,1,1,Tuesday,29.0117274283425,2025-01
ORD00122,2024-11-28,CUST0478,Customer_989,East,West Bengal,Kolkata,Clothing,Shirt,1,1050.42,1050.42,834.73,215.69,Home Office,215.69000000000005,2024,11,4,Thursday,20.533691285390603,2024-11
ORD00123,2025-01-11,CUST0014,Customer_528,West,Maharashtra,Mumbai,Clothing,Shirt,5,758.96,3794.8,2749.73,1045.07,Corporate,1045.0700000000002,2025,1,1,Saturday,27.53952777484979,2025-01
ORD00124,2024-08-27,CUST0840,Customer_522,East,Odisha,Bhubaneswar,Furniture,Sofa,2,821.91,1643.82,1069.37,574.45,Home Office,574.45,2024,8,3,Tuesday,34.946040320716385,2024-08
ORD00125,2024-09-03,CUST0286,Customer_310,South,Telangana,Hyderabad,Electronics,Monitor,4,92.71,370.84,229.44,141.4,Home Office,141.39999999999998,2024,9,3,Tuesday,38.12965160176896,2024-09
ORD00126,2023-07-29,CUST0877,Customer_844,South,Tamil Nadu,Chennai,Electronics,Laptop,3,976.32,2928.96,2182.92,746.04,Home Office,746.04,2023,7,3,Saturday,25.47115699770567,2023-07
ORD00127,2024-02-02,CUST0808,Customer_783,East,Bihar,Patna,Clothing,T-Shirt,6,519.67,3118.02,2045.95,1072.07,Consumer,1072.07,2024,2,1,Friday,34.3830379535731,2024-02
ORD00128,2024-01-19,CUST0407,Customer_750,West,Rajasthan,Jaipur,Furniture,Desk,9,1060.34,9543.06,7759.26,1783.8,Home Office,1783.7999999999993,2024,1,1,Friday,18.69211762264934,2024-01
